epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,691.353,0.91898,0.73972,1.15933,0.86973,0.71985,0.78528,0.46388,1.45435,0.89497,1.59174,0.000578519,0.000578519,0.000578519
25,719.699,0.91708,0.7245,1.1595,0.86705,0.70828,0.79306,0.46783,1.42709,0.83894,1.52666,0.000572628,0.000572628,0.000572628
26,748.26,0.90528,0.71469,1.14565,0.84108,0.72793,0.79069,0.49271,1.3431,0.84065,1.45195,0.000566737,0.000566737,0.000566737
27,776.512,0.89628,0.70721,1.14389,0.90382,0.73875,0.81995,0.50165,1.33625,0.77769,1.46117,0.000560847,0.000560847,0.000560847
28,805.523,0.88906,0.68799,1.13795,0.89495,0.74114,0.81948,0.50013,1.35659,0.80093,1.48589,0.000554956,0.000554956,0.000554956
29,833.743,0.87865,0.68388,1.13389,0.89104,0.73696,0.81679,0.48822,1.44127,0.79358,1.50977,0.000549066,0.000549066,0.000549066
30,862.244,0.8666,0.67643,1.12725,0.86108,0.76846,0.81869,0.47548,1.46839,0.80554,1.57682,0.000543175,0.000543175,0.000543175
31,890.775,0.85692,0.65115,1.11908,0.87196,0.76625,0.82957,0.53437,1.22622,0.7421,1.38218,0.000537285,0.000537285,0.000537285
32,918.352,0.85354,0.65491,1.1115,0.87472,0.74646,0.81939,0.50792,1.34428,0.74344,1.47152,0.000531395,0.000531395,0.000531395
33,946.821,0.84587,0.64438,1.10891,0.89452,0.75519,0.82131,0.51403,1.2902,0.75938,1.40222,0.000525504,0.000525504,0.000525504
34,975.737,0.84459,0.63929,1.11067,0.9235,0.76577,0.84469,0.51944,1.38814,0.71668,1.49517,0.000519613,0.000519613,0.000519613
35,1004.14,0.82283,0.62132,1.09722,0.89336,0.77909,0.83609,0.5362,1.27477,0.75146,1.42457,0.000513723,0.000513723,0.000513723
36,1033.03,0.8245,0.61632,1.09531,0.90358,0.75279,0.8277,0.49043,1.40943,0.76016,1.48687,0.000507833,0.000507833,0.000507833
37,1060.76,0.8169,0.61211,1.08636,0.90224,0.75193,0.83654,0.53156,1.26278,0.70501,1.40436,0.000501942,0.000501942,0.000501942
38,1089.4,0.81845,0.61485,1.09456,0.89492,0.76666,0.83654,0.53548,1.27068,0.69517,1.42144,0.000496052,0.000496052,0.000496052
39,1118.46,0.80828,0.60184,1.08764,0.92579,0.76936,0.84367,0.52277,1.37364,0.72765,1.51999,0.000490161,0.000490161,0.000490161
40,1146,0.80025,0.60053,1.08292,0.9334,0.75173,0.83844,0.53555,1.29049,0.7373,1.40121,0.000484271,0.000484271,0.000484271
41,1174.53,0.79348,0.59112,1.08078,0.92631,0.75812,0.84431,0.53857,1.29957,0.71288,1.43369,0.00047838,0.00047838,0.00047838
42,1203.25,0.78076,0.58217,1.07413,0.91443,0.77181,0.85234,0.55977,1.20501,0.69724,1.37722,0.000472489,0.000472489,0.000472489
43,1230.84,0.78544,0.57611,1.07226,0.93249,0.76991,0.84686,0.55636,1.22123,0.67984,1.36973,0.000466599,0.000466599,0.000466599
44,1259.49,0.76487,0.56575,1.05943,0.94857,0.75936,0.85238,0.55442,1.22196,0.69393,1.36706,0.000460709,0.000460709,0.000460709
45,1288.18,0.75988,0.55835,1.06074,0.9094,0.79451,0.84579,0.54916,1.28664,0.68696,1.41674,0.000454818,0.000454818,0.000454818
46,1317.15,0.75969,0.56163,1.0616,0.93122,0.76779,0.8377,0.56104,1.18995,0.70932,1.35413,0.000448928,0.000448928,0.000448928
47,1344.61,0.7573,0.54886,1.05389,0.89888,0.78078,0.84385,0.55799,1.20629,0.67396,1.37443,0.000443037,0.000443037,0.000443037
48,1373.31,0.74394,0.54222,1.05276,0.91586,0.76381,0.84328,0.57114,1.17286,0.69427,1.3634,0.000437147,0.000437147,0.000437147
49,1401.52,0.73942,0.53661,1.04878,0.92946,0.76174,0.84832,0.57273,1.15884,0.67082,1.30352,0.000431256,0.000431256,0.000431256
50,1429.8,0.73657,0.52996,1.04491,0.92927,0.78204,0.84478,0.58093,1.16038,0.6745,1.31267,0.000425365,0.000425365,0.000425365
51,1458.53,0.73123,0.53248,1.04391,0.92784,0.79692,0.8598,0.58701,1.13819,0.63136,1.31466,0.000419475,0.000419475,0.000419475
52,1487.08,0.72224,0.51992,1.04371,0.89908,0.77439,0.836,0.56654,1.17313,0.68954,1.32919,0.000413584,0.000413584,0.000413584
53,1515,0.71821,0.51502,1.03743,0.91241,0.77444,0.84264,0.54686,1.25252,0.67829,1.37484,0.000407694,0.000407694,0.000407694
54,1543.09,0.72776,0.51551,1.03539,0.91495,0.78869,0.85514,0.56482,1.21346,0.68494,1.3879,0.000401804,0.000401804,0.000401804
55,1571.81,0.70889,0.51279,1.03047,0.91494,0.79016,0.85538,0.56908,1.20726,0.66226,1.33049,0.000395913,0.000395913,0.000395913
